County  Code,County  Name,Constituency Code,Constituency Name,Ward Code,Ward Name,Candidate Surname,Candidate Other Names,Party Code,Political  Party Name,Abbreviation,Abbreviation Enhanced,Party Code Enhanced
34,Kajiado,184,Kajiado Central,919,Matapato North,Lencasho,Elijah  Lemayian,27,Jubilee Party,JP,JP,27
34,Kajiado,184,Kajiado Central,919,Matapato North,Lesinko,Joseph   Kitisia Nkele,Ind,Independent,IND,IND_CAW919_01,IND_CAW919_01
34,Kajiado,184,Kajiado Central,919,Matapato North,Nkaloyo,Dickson Tionka,21,Orange Democratic Movement,ODM,ODM,21
34,Kajiado,184,Kajiado Central,919,Matapato North,Orikai,Abraham Osoi,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
34,Kajiado,184,Kajiado Central,919,Matapato North,Paita,Sylvia  Siteyia,82,The Service Party,TSP,TSP,82
34,Kajiado,184,Kajiado Central,919,Matapato North,Seki,Lesalaon Ole,15,United Democratic Alliance,UDA,UDA,15
34,Kajiado,184,Kajiado Central,920,Matapato South,Lemita,Milia  Ole,33,Kenya African National Union,KANU,KANU,33
34,Kajiado,184,Kajiado Central,920,Matapato South,Milia,Duncan Tipanko,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
34,Kajiado,184,Kajiado Central,920,Matapato South,Muterian,Amos  Kimunyak,27,Jubilee Party,JP,JP,27
34,Kajiado,184,Kajiado Central,920,Matapato South,Mutunkei,David  Nkanini,21,Orange Democratic Movement,ODM,ODM,21
34,Kajiado,184,Kajiado Central,920,Matapato South,Sakoi,Liarin,15,United Democratic Alliance,UDA,UDA,15
34,Kajiado,184,Kajiado Central,920,Matapato South,Toshi,Hosea  Kasaine,1,National Rainbow Coalition-Kenya,NARC-KENYA,NARC-KENYA,1
34,Kajiado,185,Kajiado East,921,Kaputiei North,Chemutai,Rose,82,The Service Party,TSP,TSP,82
34,Kajiado,185,Kajiado East,921,Kaputiei North,Kekayaya,Edgar  Tekere,15,United Democratic Alliance,UDA,UDA,15
34,Kajiado,185,Kajiado East,921,Kaputiei North,Olowasa,Joshua Kintei,21,Orange Democratic Movement,ODM,ODM,21
34,Kajiado,185,Kajiado East,922,Kitengela,David,Enock  Magoma,33,Kenya African National Union,KANU,KANU,33
34,Kajiado,185,Kajiado East,922,Kitengela,Kamau,Samson Kimunge,82,The Service Party,TSP,TSP,82
34,Kajiado,185,Kajiado East,922,Kitengela,Kipior,Dalmas Maato,15,United Democratic Alliance,UDA,UDA,15
34,Kajiado,185,Kajiado East,922,Kitengela,Matuyia,Paul  Kipamet,21,Orange Democratic Movement,ODM,ODM,21
34,Kajiado,185,Kajiado East,922,Kitengela,Njari,Titus  Ndei,44,Party Of Democratic Unity,PDU,PDU,44
34,Kajiado,185,Kajiado East,922,Kitengela,Ouko,Thardeus Okoth,80,Usawa Kwa Wote Party,USAWA,USAWA,80
34,Kajiado,185,Kajiado East,922,Kitengela,Sinkeet,Alex  Legis,27,Jubilee Party,JP,JP,27
34,Kajiado,185,Kajiado East,922,Kitengela,Wambui,Fredrick Chege,Ind,Independent,IND,IND_CAW922_01,IND_CAW922_01
34,Kajiado,185,Kajiado East,923,Oloosirkon/Sholinke,Kaesha,Francis  Kaindi,27,Jubilee Party,JP,JP,27
34,Kajiado,185,Kajiado East,923,Oloosirkon/Sholinke,Keraka,Shem  Omoke,81,United Progressive Alliance,UPA,UPA,81
34,Kajiado,185,Kajiado East,923,Oloosirkon/Sholinke,Kinoti,Gatakaa Harriet,Ind,Independent,IND,IND_CAW923_01,IND_CAW923_01
34,Kajiado,185,Kajiado East,923,Oloosirkon/Sholinke,Kisemei,Stephen Rais Marush,15,United Democratic Alliance,UDA,UDA,15
34,Kajiado,185,Kajiado East,923,Oloosirkon/Sholinke,Korompoi,Rachel Seneyia,Ind,Independent,IND,IND_CAW923_02,IND_CAW923_02
34,Kajiado,185,Kajiado East,923,Oloosirkon/Sholinke,Makori,Dauglas Orangi,Ind,Independent,IND,IND_CAW923_03,IND_CAW923_03
34,Kajiado,185,Kajiado East,923,Oloosirkon/Sholinke,Marias,Paul  Morinke,Ind,Independent,IND,IND_CAW923_04,IND_CAW923_04
34,Kajiado,185,Kajiado East,923,Oloosirkon/Sholinke,Masagate,Lucille Mokeira,33,Kenya African National Union,KANU,KANU,33
34,Kajiado,185,Kajiado East,923,Oloosirkon/Sholinke,Masara,Innocent Otieno,Ind,Independent,IND,IND_CAW923_05,IND_CAW923_05
34,Kajiado,185,Kajiado East,923,Oloosirkon/Sholinke,Munala,Joyce  Tandi,80,Usawa Kwa Wote Party,USAWA,USAWA,80
34,Kajiado,185,Kajiado East,923,Oloosirkon/Sholinke,Muraguri,Alloys Mwai,87,Chama Cha Kazi,KAZI,KAZI,87
34,Kajiado,185,Kajiado East,923,Oloosirkon/Sholinke,Mwangi,Njoroge,Ind,Independent,IND,IND_CAW923_06,IND_CAW923_06
34,Kajiado,185,Kajiado East,923,Oloosirkon/Sholinke,Mwasaru,Eliud  Kipkoech,Ind,Independent,IND,IND_CAW923_07,IND_CAW923_07
34,Kajiado,185,Kajiado East,923,Oloosirkon/Sholinke,Ng'Ang'A,John  Kairu,22,Peoples Party Of Kenya,PPK,PPK,22
34,Kajiado,185,Kajiado East,923,Oloosirkon/Sholinke,Nzioki,David  Michael Kitonyi,17,Agano Party,AGANO,AGANO,17
34,Kajiado,185,Kajiado East,923,Oloosirkon/Sholinke,Obegi,Edwin  Osoro,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
34,Kajiado,185,Kajiado East,923,Oloosirkon/Sholinke,Ole Sayiore,John  Supeyo,21,Orange Democratic Movement,ODM,ODM,21
34,Kajiado,185,Kajiado East,923,Oloosirkon/Sholinke,Ongera,Justus  Bosire,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
34,Kajiado,185,Kajiado East,923,Oloosirkon/Sholinke,Ongogo,Tom  Odhiambo,67,Maendeleo Chap Chap Party,MCCP,MCCP,67
