County Code,County Name,Constituency Code,Constituency Name,Candidate Surname,Candidate Other Names,Party Code,Political Party Name,Abbreviation,Abbreviation Enhanced,Party Code Enhanced
3,Kilifi,11,Kilifi North,Ziro,Elizabeth Wambugha,90,Umoja Summit Party,USP,USP,90
3,Kilifi,12,Kilifi South,Almas,Hadad Faisal,23,Forum For Restoration Of Democracy-Kenya,FORD-KENYA,FORD-KENYA,23
3,Kilifi,12,Kilifi South,Jobba,Said Musa,15,United Democratic Alliance,UDA,UDA,15
3,Kilifi,12,Kilifi South,Kiti,Richard Ken Chonga,21,Orange Democratic Movement,ODM,ODM,21
3,Kilifi,12,Kilifi South,Kombe,Sophie Kadzo,91,Pamoja African Alliance,PAA,PAA,91
3,Kilifi,12,Kilifi South,Mohamed,Yusuf Sheikh,Ind,Independent,IND,IND_NAM12_01,IND_NAM12_01
3,Kilifi,12,Kilifi South,Muganga,Bernard Biddii,62,Amani National Congress,ANC,ANC,62
3,Kilifi,12,Kilifi South,Muluka,Nellie Anzazi,Ind,Independent,IND,IND_NAM12_02,IND_NAM12_02
3,Kilifi,12,Kilifi South,Ngui,Peter,80,Usawa Kwa Wote Party,USAWA,USAWA,80
3,Kilifi,12,Kilifi South,Nyale,Kennedy James,Ind,Independent,IND,IND_NAM12_03,IND_NAM12_03
3,Kilifi,12,Kilifi South,Shera,Dennis Chamoto,30,Kenya African Democratic Union-Asili,KADU-ASILI,KADU-ASILI,30
3,Kilifi,12,Kilifi South,Wanyepe,Nicholas Mrima,Ind,Independent,IND,IND_NAM12_04,IND_NAM12_04
3,Kilifi,13,Kaloleni,Chiringa,Moses Menza,40,The New Democrats,TND,TND,40
3,Kilifi,13,Kaloleni,Chivila,Winnie Santa,Ind,Independent,IND,IND_NAM13_01,IND_NAM13_01
3,Kilifi,13,Kaloleni,Garama,Stephen Raphael,62,Amani National Congress,ANC,ANC,62
3,Kilifi,13,Kaloleni,Katana,Paul Kahindi,21,Orange Democratic Movement,ODM,ODM,21
3,Kilifi,13,Kaloleni,Kenga,Esther Henry,90,Umoja Summit Party,USP,USP,90
3,Kilifi,13,Kaloleni,Kenga,Fedinand Masha,Ind,Independent,IND,IND_NAM13_02,IND_NAM13_02
3,Kilifi,13,Kaloleni,Mangi,Raymond Furaha,27,Jubilee Party,JP,JP,27
3,Kilifi,13,Kaloleni,Ngonyo,Michael Hinzano,Ind,Independent,IND,IND_NAM13_03,IND_NAM13_03
3,Kilifi,13,Kaloleni,Ria,Japhet Mvoyi,15,United Democratic Alliance,UDA,UDA,15
3,Kilifi,13,Kaloleni,Rimba,Martin Chengo,33,Kenya African National Union,KANU,KANU,33
3,Kilifi,13,Kaloleni,Tsuma,Edward Saro,91,Pamoja African Alliance,PAA,PAA,91
3,Kilifi,14,Rabai,Kalume,Caroline,27,Jubilee Party,JP,JP,27
3,Kilifi,14,Rabai,Kamoti,Mdigo Mwamkale,21,Orange Democratic Movement,ODM,ODM,21
3,Kilifi,14,Rabai,Kaulu,Philip Mbaji,15,United Democratic Alliance,UDA,UDA,15
3,Kilifi,14,Rabai,Kombo,David Swafi,77,Justice And Freedom Party,JFP,JFP,77
3,Kilifi,14,Rabai,Kondo,Esther Ndolola,34,Safina,SAFINA,SAFINA,34
3,Kilifi,14,Rabai,Mackenzie,Issah Omar,Ind,Independent,IND,IND_NAM14_01,IND_NAM14_01
3,Kilifi,14,Rabai,Mupe,Anthony Kenga,91,Pamoja African Alliance,PAA,PAA,91
3,Kilifi,14,Rabai,Nzai,Charles Chama,Ind,Independent,IND,IND_NAM14_02,IND_NAM14_02
3,Kilifi,15,Ganze,Chivatsi,David Shoka,80,Usawa Kwa Wote Party,USAWA,USAWA,80
3,Kilifi,15,Ganze,Mwambire,Teddy Ngumbao,21,Orange Democratic Movement,ODM,ODM,21
3,Kilifi,15,Ganze,Mweni,Anderson Kenga,34,Safina,SAFINA,SAFINA,34
3,Kilifi,15,Ganze,Samaki,James Charo,15,United Democratic Alliance,UDA,UDA,15
3,Kilifi,15,Ganze,Tungule,Charo Kenneth Kazungu,91,Pamoja African Alliance,PAA,PAA,91
3,Kilifi,16,Malindi,Chiriba,Daniel Chai,15,United Democratic Alliance,UDA,UDA,15
3,Kilifi,16,Malindi,Kadzeha,Peter Ponda,62,Amani National Congress,ANC,ANC,62
3,Kilifi,16,Malindi,Kalama,Kenneth Mulewa,Ind,Independent,IND,IND_NAM16_01,IND_NAM16_01
3,Kilifi,16,Malindi,Mnyazi,Amina Laura,21,Orange Democratic Movement,ODM,ODM,21
3,Kilifi,16,Malindi,Mtengo,William Baraka,91,Pamoja African Alliance,PAA,PAA,91
3,Kilifi,16,Malindi,Nyule,Nixon Kingi,34,Safina,SAFINA,SAFINA,34
3,Kilifi,16,Malindi,Otara,Richard Ondara,64,United Democratic Party,UDP,UDP,64
3,Kilifi,16,Malindi,Taura,Benard Kaingu,32,Communist Party Of Kenya,CPK,CPK,32
3,Kilifi,17,Magarini,Kalluwa,Martin Mangi Mwaro Baya,Ind,Independent,IND,IND_NAM17_01,IND_NAM17_01
3,Kilifi,17,Magarini,Karisa,Hamadi Chadi,49,Federal Party Of Kenya,FPK,FPK,49
3,Kilifi,17,Magarini,Kenga,Stanley Karisa,15,United Democratic Alliance,UDA,UDA,15
3,Kilifi,17,Magarini,Kingi,Michael Thoyah,91,Pamoja African Alliance,PAA,PAA,91
3,Kilifi,17,Magarini,Kombe,Harrison Garama,21,Orange Democratic Movement,ODM,ODM,21
3,Kilifi,17,Magarini,Masha,John Sulubu,30,Kenya African Democratic Union-Asili,KADU-ASILI,KADU-ASILI,30
3,Kilifi,17,Magarini,Nzai,Samuel Kombe,29,National Rainbow Coalition,NARC,NARC,29
4,Tana River,18,Garsen,Bashora,Ahmed Butte,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
4,Tana River,18,Garsen,Daleno,Mohamed Juge,80,Usawa Kwa Wote Party,USAWA,USAWA,80
4,Tana River,18,Garsen,Guracho,Abdulla Bocha,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
4,Tana River,18,Garsen,Guyo,Ali Wario,21,Orange Democratic Movement,ODM,ODM,21
4,Tana River,18,Garsen,Igwo,Dulu,15,United Democratic Alliance,UDA,UDA,15
4,Tana River,18,Garsen,Jilo,Komora Mabudi,91,Pamoja African Alliance,PAA,PAA,91
4,Tana River,18,Garsen,Mohamed,Hussein Dara,23,Forum For Restoration Of Democracy-Kenya,FORD-KENYA,FORD-KENYA,23
4,Tana River,18,Garsen,Welly,Abdi Ali,46,United Party Of Independent Alliance,UPIA,UPIA,46
4,Tana River,19,Galole,Aziz,Bwanaidi Abdallah,33,Kenya African National Union,KANU,KANU,33
4,Tana River,19,Galole,Farah,Hargamso Mohamed,62,Amani National Congress,ANC,ANC,62
4,Tana River,19,Galole,Hiribae,Said Buya,21,Orange Democratic Movement,ODM,ODM,21
4,Tana River,19,Galole,Kedhi,Ahmed Shuri,46,United Party Of Independent Alliance,UPIA,UPIA,46
4,Tana River,19,Galole,Yusa,Mohamed Buya,15,United Democratic Alliance,UDA,UDA,15
4,Tana River,20,Bura,Bishar,Juma Odha,40,The New Democrats,TND,TND,40
4,Tana River,20,Bura,Dube,Mohamed Hassan,27,Jubilee Party,JP,JP,27
4,Tana River,20,Bura,Guyo,Mohamed,Ind,Independent,IND,IND_NAM20_01,IND_NAM20_01
4,Tana River,20,Bura,Hassan,Rehema,15,United Democratic Alliance,UDA,UDA,15
4,Tana River,20,Bura,Kanchora,Abdulla Hanti,33,Kenya African National Union,KANU,KANU,33
4,Tana River,20,Bura,Kuno,Yakub Adow,46,United Party Of Independent Alliance,UPIA,UPIA,46
4,Tana River,20,Bura,Mohamed,Khalif Dughali,23,Forum For Restoration Of Democracy-Kenya,FORD-KENYA,FORD-KENYA,23
