County Code,County Name,Candidate Surname,Candidate Other Names,Running Mate Surname,Running Mate Other Names,Party Code,Political Party Name,Abbreviation,Abbreviation Enhanced,Party Code Enhanced
43,Homa Bay,Mark,Charles Rabudi,Omollo,Geofrey Ouma,15,United Democratic Alliance,UDA,UDA,15
43,Homa Bay,Wanga,Gladys Atieno Nyasuna,Magwanga,Joseph O,21,Orange Democratic Movement,ODM,ODM,21
44,Migori,Anyango,Dalmas Otieno,Mwikwabe,Thomas Maneno,27,Jubilee Party,JP,JP,27
44,Migori,Dache,Pesa John,Maroa,Muhingira,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
44,Migori,Maroa,Rebecca Ghati,Zata,John Barasa,15,United Democratic Alliance,UDA,UDA,15
44,Migori,Marwa,Jane Moronge,Dienya,Solomon Kasera,81,United Progressive Alliance,UPA,UPA,81
44,Migori,Mbogo,George Ochilo Ayacko,Mahiri,Joseph Gimunta,21,Orange Democratic Movement,ODM,ODM,21
44,Migori,Mwabe,Philip Ogwari,Magaiwa,John Menganyi,Ind,Independent,IND,IND_GOV44_01,IND_GOV44_01
44,Migori,Ngao,Joseph Owuor,Chacha,Julius Magige,Ind,Independent,IND,IND_GOV44_02,IND_GOV44_02
44,Migori,Oginga,Byron Ouko,Oroko,John Nyangwe,69,Liberal Democratic Party,LDP,LDP,69
44,Migori,Okoth,Boaz Owiti,Mabanga,Julius Chacha,Ind,Independent,IND,IND_GOV44_03,IND_GOV44_03
45,Kisii,Arati,Paul Simba,Monda,Robert Onsare,21,Orange Democratic Movement,ODM,ODM,21
45,Kisii,Nyamweya,Manson Oyongo,Ongera,Alfred Ndemo,9,Kenya National Congress,KNC,KNC,9
45,Kisii,Obure,Christopher Mogere,Mbaka,William Onsongo,27,Jubilee Party,JP,JP,27
45,Kisii,Ombaki,Ezekiel Machogu,Ogamba,Julius Migos,15,United Democratic Alliance,UDA,UDA,15
45,Kisii,Onchiri,Josephat Ratemo,Ombati,Frankline Sagwe,80,Usawa Kwa Wote Party,USAWA,USAWA,80
45,Kisii,Ongeri,Samson Kegengo,Maaga,Josiah Onkundi Karori,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
45,Kisii,Onyancha,Josiah,Okeo,Juspher Momanyi,Ind,Independent,IND,IND_GOV45_01,IND_GOV45_01
46,Nyamira,Bosire,Timothy Moseti E,Rigoro,Charles Makory,21,Orange Democratic Movement,ODM,ODM,21
46,Nyamira,Bwo-Ndieki,John Nyariki,Nyariki,Zachary  K Ombatta,Ind,Independent,IND,IND_GOV46_01,IND_GOV46_01
46,Nyamira,Marwanga,Reuben Omwega,Onyari,Akama Jared,33,Kenya African National Union,KANU,KANU,33
46,Nyamira,Momanyi,Ben George Orori,Otuto,Tom  Mokua,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
46,Nyamira,Nyakundi,Gideon Moseti,Omayio,Winnie Kemunto,25,Progressive Party Of Kenya,PPOK,PPOK,25
46,Nyamira,Nyaribo,Amos Kimwomi,Ondicho,James Gesami,81,United Progressive Alliance,UPA,UPA,81
46,Nyamira,Okioma,Samson Mwancha Nyang'au,Onyambu,Samwel Abuga,27,Jubilee Party,JP,JP,27
46,Nyamira,Ombasa,Joseph Kiangoi,Mokogi,Julius Obare,62,Amani National Congress,ANC,ANC,62
46,Nyamira,Ongeri,Henry Mokua,Buruchara,Josephine Nyanchama,68,Democratic Congress,DC,DC,68
46,Nyamira,Ongwenyi,Annald Nyasinga,Momanyi,Bitange Kevin,34,Safina,SAFINA,SAFINA,34
46,Nyamira,Osebe,Walter Enock Nyambati,Nyakiba,Erneo Mageto Moruri,15,United Democratic Alliance,UDA,UDA,15
46,Nyamira,Osiemo,Daniel Nyakundi,Nyaega,Dennis Ogembo,22,Peoples Party Of Kenya,PPK,PPK,22
47,Nairobi City,Grewal,Harman Singh,Kimwele,Michael Mutunga,34,Safina,SAFINA,SAFINA,34
47,Nairobi City,Kamau,Polycarp Igathe,Kaloki,Philip Kyalo Kituti,27,Jubilee Party,JP,JP,27
47,Nairobi City,Kariuki,Agnes Kagure,Oyieyo,Abel Onchari,Ind,Independent,IND,IND_GOV47_01,IND_GOV47_01
47,Nairobi City,Kiio,Cleophas Mutua,Abiero,William Otieno,23,Forum For Restoration Of Democracy-Kenya,FORD-KENYA,FORD-KENYA,23
47,Nairobi City,Kodhe,Denis Arua Ochieng',Owino,Steven Paul,69,Liberal Democratic Party,LDP,LDP,69
47,Nairobi City,Mwadime,Nancy Wambui,Mwangi,John Ngunjiri,80,Usawa Kwa Wote Party,USAWA,USAWA,80
47,Nairobi City,Nyamwamu,Kenneth Kinara,Okuna,Lilian Achieng,81,United Progressive Alliance,UPA,UPA,81
47,Nairobi City,Sakaja,Johnson Arthur,Muchiri,James Njoroge,15,United Democratic Alliance,UDA,UDA,15
47,Nairobi City,Thairu,Esther Waringa,Ngetich,Leonard Kipkorir,Ind,Independent,IND,IND_GOV47_02,IND_GOV47_02
