County Code,County Name,Candidate Surname,Candidate Other Names,Party Code,Political Party Name,Abbreviation,Abbreviation Enhanced,Party Code Enhanced
2,Kwale,Obadiah,Hezron Mutua Mwawaza,34,Safina,SAFINA,SAFINA,34
2,Kwale,Yama,Anthony Nyawa,15,United Democratic Alliance,UDA,UDA,15
3,Kilifi,Chilango,Carolyne Andzazi,62,Amani National Congress,ANC,ANC,62
3,Kilifi,Chilumo,Benjamin Kai,91,Pamoja African Alliance,PAA,PAA,91
3,Kilifi,Madzayo,Stewart Mwachiru Shadrack,21,Orange Democratic Movement,ODM,ODM,21
3,Kilifi,Mwabonje,Alex Shukran,15,United Democratic Alliance,UDA,UDA,15
4,Tana River,Barako,Hantiro Abdulrahman,1,National Rainbow Coalition-Kenya,NARC-KENYA,NARC-KENYA,1
4,Tana River,Bule,Ali Abdi,49,Federal Party Of Kenya,FPK,FPK,49
4,Tana River,Dubow,Sadam Salat,62,Amani National Congress,ANC,ANC,62
4,Tana River,Dukicha,Hassan Abdi,27,Jubilee Party,JP,JP,27
4,Tana River,Mohamed,Jire Siyat,23,Forum For Restoration Of Democracy-Kenya,FORD-KENYA,FORD-KENYA,23
4,Tana River,Mungatana,Danson Buya,15,United Democratic Alliance,UDA,UDA,15
4,Tana River,Nakapepwe,Alice Japhet,77,Justice And Freedom Party,JFP,JFP,77
4,Tana River,Omara,Bakari Garise,91,Pamoja African Alliance,PAA,PAA,91
4,Tana River,Soba,Abdulaziz Mohamed,64,United Democratic Party,UDP,UDP,64
4,Tana River,Wario,Golich Juma,21,Orange Democratic Movement,ODM,ODM,21
5,Lamu,Aboubakar,Yusuf Mahmoud,62,Amani National Congress,ANC,ANC,62
5,Lamu,Ali,Ahmed Suleiman,46,United Party Of Independent Alliance,UPIA,UPIA,46
5,Lamu,Dhahir,Abdiwely Mohamed,37,National Agenda Party Of Kenya,NAPK,NAPK,37
5,Lamu,Haji,Ahmed Bunu,21,Orange Democratic Movement,ODM,ODM,21
5,Lamu,Kamau,Joseph Githuku,27,Jubilee Party,JP,JP,27
5,Lamu,Loitiptip,Anuar,Ind,Independent,IND,IND_SEN5_01,IND_SEN5_01
5,Lamu,Mbaruk,Khamis Nassor,33,Kenya African National Union,KANU,KANU,33
5,Lamu,Mohamed,Abudi Omar,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
5,Lamu,Mugo,Francis Kariuki,15,United Democratic Alliance,UDA,UDA,15
6,Taita Taveta,Banton,Hamisi Mike,Ind,Independent,IND,IND_SEN6_01,IND_SEN6_01
6,Taita Taveta,Mbogho,Enock Mwachala,30,Kenya African Democratic Union-Asili,KADU-ASILI,KADU-ASILI,30
6,Taita Taveta,Mwachofi,John Righa,15,United Democratic Alliance,UDA,UDA,15
6,Taita Taveta,Mwadeghu,Thomas Ludindi,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
6,Taita Taveta,Mwamodo,Godwin Kilele,27,Jubilee Party,JP,JP,27
6,Taita Taveta,Mwandawiro,Julius Mghanga,32,Communist Party Of Kenya,CPK,CPK,32
6,Taita Taveta,Mwaruma,Johnes Mwashushe,21,Orange Democratic Movement,ODM,ODM,21
6,Taita Taveta,Njumwa,Stephen Saleka,62,Amani National Congress,ANC,ANC,62
6,Taita Taveta,Nyambu,Anna Kina,38,Peoples Empowerment Party,PEP,PEP,38
6,Taita Taveta,Okwemba,Stephen Oddiaga,50,Muungano Party,MUUNGANO,MUUNGANO,50
7,Garissa,Abdi,Ahmedrashid Koriyow,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
7,Garissa,Abdi,Yussuf Issa,41,United Democratic Movement,UDM,UDM,41
7,Garissa,Aden,Hussein Bare,34,Safina,SAFINA,SAFINA,34
7,Garissa,Dabar,Daud Adan,79,United Green Movement,UGM,UGM,79
7,Garissa,Haji,Abdulkadir Mohammed,27,Jubilee Party,JP,JP,27
7,Garissa,Mohamed,Khalid Ali,84,National Reconstruction Alliance,NRA,NRA,84
7,Garissa,Shalle,Mohammed Issack,23,Forum For Restoration Of Democracy-Kenya,FORD-KENYA,FORD-KENYA,23
7,Garissa,Shide,Abubakar Mohamed,81,United Progressive Alliance,UPA,UPA,81
8,Wajir,Abakar,Adow Mohammed,64,United Democratic Party,UDP,UDP,64
8,Wajir,Abdikadir,Abdirahman Adan,46,United Party Of Independent Alliance,UPIA,UPIA,46
8,Wajir,Abdirahaman,Ibrahim Mohamud,33,Kenya African National Union,KANU,KANU,33
8,Wajir,Aden,Mohamed Daud,75,Empowerment And Liberation Party,ELP,ELP,75
8,Wajir,Ahmed,Noor Aden,62,Amani National Congress,ANC,ANC,62
