County Code,County Name,Candidate Surname,Candidate Other Names,Party Code,Political Party Name,Abbreviation,Abbreviation Enhanced,Party Code Enhanced
4,Tana River,Koro,Saddia Halima,41,United Democratic Movement,UDM,UDM,41
4,Tana River,Snad,Keiro Kadija,46,United Party Of Independent Alliance,UPIA,UPIA,46
4,Tana River,Suleiman,Fatuma Hamaro,79,United Green Movement,UGM,UGM,79
4,Tana River,Twalib,Medina Halako,27,Jubilee Party,JP,JP,27
4,Tana River,Wama,Angelina Naemi,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
4,Tana River,Zitah,Hariety Namwezi,62,Amani National Congress,ANC,ANC,62
5,Lamu,Abdalla,Esha Nizar,21,Orange Democratic Movement,ODM,ODM,21
5,Lamu,Abdalla,Mariyam Abubakar,91,Pamoja African Alliance,PAA,PAA,91
5,Lamu,Loo,Amina Kale,62,Amani National Congress,ANC,ANC,62
5,Lamu,Luwali,Loyce Dama,1,National Rainbow Coalition-Kenya,NARC-KENYA,NARC-KENYA,1
5,Lamu,Marubu,Monicah Muthoni,Ind,Independent,IND,IND_WMNA5_01,IND_WMNA5_01
5,Lamu,Mote,Nana Mohamed,27,Jubilee Party,JP,JP,27
6,Taita Taveta,Chao,Linah Jemimah,91,Pamoja African Alliance,PAA,PAA,91
6,Taita Taveta,Katua,Catherine Mueni,33,Kenya African National Union,KANU,KANU,33
6,Taita Taveta,Kizidio,Prisca Mbingu Mwamboa,Ind,Independent,IND,IND_WMNA6_01,IND_WMNA6_01
6,Taita Taveta,Lay,Joyce Wanjalah,27,Jubilee Party,JP,JP,27
6,Taita Taveta,Mizighi,Lydia Haika Mnene,15,United Democratic Alliance,UDA,UDA,15
6,Taita Taveta,Mlambo,Catherine Mashame,21,Orange Democratic Movement,ODM,ODM,21
6,Taita Taveta,Mwanyumba,Esther Mkaiwawi,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
6,Taita Taveta,Shuwe,Getrude Nginai Nawoti,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
7,Garissa,Ahmed,Katra Salat,46,United Party Of Independent Alliance,UPIA,UPIA,46
7,Garissa,Buul,Khadija Ahmed,21,Orange Democratic Movement,ODM,ODM,21
7,Garissa,Dubow,Honey Hussein,68,Democratic Congress,DC,DC,68
7,Garissa,Gure,Shukran Hussein,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
7,Garissa,Mohamed,Amina Abdullahi,14,Party Of National Unity,PNU,PNU,14
7,Garissa,Mohamed,Mulki Warsame,15,United Democratic Alliance,UDA,UDA,15
7,Garissa,Olow,Asha Dekow,37,National Agenda Party Of Kenya,NAPK,NAPK,37
7,Garissa,Siyad,Amina Udgoon,27,Jubilee Party,JP,JP,27
8,Wajir,Abdikadir,Neema Sheikh,Ind,Independent,IND,IND_WMNA8_01,IND_WMNA8_01
8,Wajir,Abdille,Anisa Rashid,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
8,Wajir,Ali,Fatuma Gedi,27,Jubilee Party,JP,JP,27
8,Wajir,Amin,Farhiya Noor,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
8,Wajir,Bulle,Barey Diis,64,United Democratic Party,UDP,UDP,64
8,Wajir,Gabow,Meymuna Osman,15,United Democratic Alliance,UDA,UDA,15
8,Wajir,Guhad,Suli Abdi,1,National Rainbow Coalition-Kenya,NARC-KENYA,NARC-KENYA,1
8,Wajir,Ibrahim,Nasri Sahal,23,Forum For Restoration Of Democracy-Kenya,FORD-KENYA,FORD-KENYA,23
8,Wajir,Jehow,Fatuma Abdi,21,Orange Democratic Movement,ODM,ODM,21
8,Wajir,Kassim,Nasri Ibrahim,67,Maendeleo Chap Chap Party,MCCP,MCCP,67
8,Wajir,Maalim,Farhiya Abdille,63,Devolution Party Of Kenya,DPK,DPK,63
8,Wajir,Mohamed,Asha Hassan,62,Amani National Congress,ANC,ANC,62
8,Wajir,Omar,Halima Ali,41,United Democratic Movement,UDM,UDM,41
9,Mandera,Hassan,Amina Gedow,15,United Democratic Alliance,UDA,UDA,15
9,Mandera,Hillow,Sahara Ahmed,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
9,Mandera,Ibrahim,Ubah Abdi,21,Orange Democratic Movement,ODM,ODM,21
9,Mandera,Mahabub,Fathia,27,Jubilee Party,JP,JP,27
9,Mandera,Mohamed,Abdia Ibrahim,46,United Party Of Independent Alliance,UPIA,UPIA,46
9,Mandera,Sheikh,Umul Ker Kassim,41,United Democratic Movement,UDM,UDM,41
10,Marsabit,Abduba,Rose Tume,33,Kenya African National Union,KANU,KANU,33
10,Marsabit,Ibrahim,Fatuma Nur,46,United Party Of Independent Alliance,UPIA,UPIA,46
10,Marsabit,Ibren,Nasra Ibrahim,41,United Democratic Movement,UDM,UDM,41
10,Marsabit,Mamo,Gethia Adan,27,Jubilee Party,JP,JP,27
